task_name,start_date,end_date,resources,costs,dependencies,deliverables,detailed_description,notes,parent,child
Kick-off & Project Setup,2024-06-01,2024-06-05,"['Ennis', 'Antonio']",10000,[],"['Kick-off meeting minutes', 'Project charter', 'Stakeholder register', 'Communicatieplan']","Projectopstart: stakeholder alignment, project governance, communicatieplan, aanstellen stuurgroep en technische leads. Inclusief voorbereidende licenties en aanschaf van eerste tooling/meetapparatuur.",,Project Initiation & Analysis,Kick-off & Project Setup
Process & Workflow Analysis,2024-06-06,2024-06-10,"['Ewann', 'Jona', 'Alexander']",5000,[],"['Procesmeetrapport', 'Workflow maps (AS-IS : TO-BE)', 'Bottleneck analysis', 'Data export voor simulatie']","Diepgaande analyse van de geselecteerde productielijn, datacollectie van processtappen, tijdmetingen en identificatie van bottlenecks. Levering: analyseverslag met meetdata en aanbevelingen.",,Project Initiation & Analysis,Process & Workflow Analysis
Requirements Definition,2024-06-11,2024-06-15,"['Ennis', 'Antonio', 'Sander']",8000,[],"['Requirements specification (functional & non-functional)', 'Acceptance criteria checklist', 'Interface requirement list (PLC/MES)']","Opstellen van functionele en niet-functionele requirements: performance targets, veiligheidscriteria, interface-eisen (PLC, MES), dataverzamelingsvereisten en acceptatiecriteria.",,Project Initiation & Analysis,Requirements Definition
Risk & Cost Analysis,2024-06-16,2024-06-20,"['Antonio', 'Ennis']",6000,[],"['Risicoanalyse (RAID log (Risks, Assumptions, Issues, Dependencies))', 'Kostenraming (CAPEX (Capital Expenditures)/OPEX (Operational Expenditures))', 'Scenario en gevoeligheidsanalyse rapport']","Risico-identificatie (technisch, operationeel, veiligheidsrisico's) en inschatting van investerings- en operationele kosten. Scenarioanalyse en gevoeligheidsanalyse voor ROI-berekeningen.",,Project Initiation & Analysis,Risk & Cost Analysis
System Architecture Design,2024-06-21,2024-06-30,"['Alexander', 'Ewann']",12000,['Project Initiation & Analysis:Requirements Definition'],"['Technisch Ontwerpdocument (TDD)', 'Component lijst en specificaties', 'Netwerk- en integratieontwerp']","Technisch ontwerp van de pilotlijn: specificatie van AMR's en robots, sensorplaatsing (IoT), netwerktopologie, veiligheidsbarriÃ¨res en integratiepunten met bestaand MES/PLC. Inclusief componentselectie en kostenraming.","Bevat lay-out van robotica, sensoren en netwerk","Design, Planning & Simulation",System Architecture Design
Simulation & Digital Twin,2024-07-01,2024-07-10,['Ewann'],10000,"['Design, Planning & Simulation:System Architecture Design']","['Digital Twin model', 'Simulatie scenarios en rapport', 'Validatie cases en resultaten']","Ontwikkelen van een Digital Twin-model voor simulatie van materiaalstromen, machinebezetting en AMR-bewegingen. Uitvoeren van scenario-tests en performance-simulaties om ontwerpkeuzes te valideren.",Opzetten Digital Twin en valideer scenario's,"Design, Planning & Simulation",Simulation & Digital Twin
Planning & Scheduling,2024-06-21,2024-07-05,"['Jona', 'Ennis']",4000,['Project Initiation & Analysis:Process & Workflow Analysis'],"['Implementatieplan (cutover windows)', 'Resource en shift planning', 'Fallback- en roll-back procedures']",Werkplanning en implementatiestrategie opstellen om de bestaande productiecontinuÃ¯teit te waarborgen tijdens integratie. Includes cutover windows and fallback plans.,PlanningsstrategieÃ«n om productie-interrupties te vermijden,"Design, Planning & Simulation",Planning & Scheduling
Design Review,2024-07-08,2024-07-10,"['Stuurgroep', 'Ennis']",2000,"['Design, Planning & Simulation:System Architecture Design', 'Design, Planning & Simulation:Simulation & Digital Twin']","['Review minutes and decision log', 'Approved go/no-go record', 'Action item list for prototype build']",Formele technische en veiligheidsreview met stuurgroep en operationele stakeholders. Besluitruimte voor prototypebouw en verdere investeringen.,Formele review en go/no-go voor prototype,"Design, Planning & Simulation",Design Review
Prototype Build,2024-07-11,2024-07-25,"['Alexander', 'Ewann']",20000,"['Design, Planning & Simulation:Design Review']","['Werkend prototype in testzone', 'Installatie- en configuratierapport', 'Hardware en software baselines']","Fysieke bouw en configuratie van de pilotinstallatie in een afgesloten testzone. Inclusief integratie van robots, AMR's, sensoren en controllers. Levering van testopstelling en baseline-documentatie.",Bouwen in testzone; isolatie van live productielijn,Prototype Development & Testing,Prototype Build
Testing & Validation,2024-07-26,2024-08-05,"['Sander', 'Ewann']",5000,['Prototype Development & Testing:Prototype Build'],"['Testplannen en -cases', 'Testverslagen en meetresultaten', 'Aanbevelingen en defectlog', 'Performance testing report (throughput-, latency-, uptime- and stress- tests)']","Gefaseerde testaanpak: unit tests voor subsystemen, veiligheidsaudits, performantiebenchmarks en regressietests. Resultaten vormen input voor iteraties of go/no-go.","Unit tests, veiligheidsevaluaties en performantie-benchmarks",Prototype Development & Testing,Testing & Validation
Operator Training,2024-08-01,2024-08-10,"['Jona', 'Sander']",3000,['Prototype Development & Testing:Testing & Validation'],"['Training materialen en handleidingen', 'Training aanwezigheid en competentiegegevens', 'Handover checklist voor operaties', 'Training evaluatierapport']","Opleidingsprogramma voor operatoren en onderhoudspersoneel inclusief handleidingen, hands-on trainingen en competentietoetsen.",Trainingssessies en trainingsmateriaal voor eindgebruikers,Prototype Development & Testing,Operator Training
Integration Preparation,2024-08-11,2024-08-14,"['Ennis', 'Alexander', 'Ewann', 'Jona', 'Sander', 'Antonio']",3000,['Prototype Development & Testing:Testing & Validation'],"['Integratieplan en schema', 'Communicatieplan voor cutover', 'Rollback- en noodplannen']","Operationele voorbereidingen: change management, communicatie naar productieteam, detaillering van cutoverprocedures en reservemaatregelen.","Communicatie, planningen en voorbereidingen voor integratie",Pilot Line Implementation,Integration Preparation
System Integration,2024-08-15,2024-08-22,"['Alexander', 'Ewann']",15000,['Pilot Line Implementation:Integration Preparation'],"['Integratie tests', 'Integratietest rapporten', 'Interface verificatiedocumenten', ""Systeemconfiguratie baselines (configuratie van PLC, MES, AMR's en IoT-apparaten)""]","Integratie van het prototype met de live lijn: fysieke montage, systeeminterfaces, netwerkconfiguratie en integratietests met bestaande systemen.",Fasegewijze integratie en compatibility tests,Pilot Line Implementation,System Integration
Commissioning & Validation,2024-08-23,2024-08-28,"['Sander', 'Ennis']",5000,['Pilot Line Implementation:System Integration'],"['Inbedrijfstellingsrapport', 'Operationele acceptatie goedkeuring', 'Performantie monitoring data']","Inbedrijfstelling: validatie t.o.v. acceptatiecriteria, performance monitoring en fine-tuning van parameters. Rapportage van meetresultaten en openstaande acties.",Finale validatie en performance monitoring,Pilot Line Implementation,Commissioning & Validation
Performance Evaluation,2024-08-29,2024-08-31,"['Jona', 'Ewann']",2000,['Pilot Line Implementation:Commissioning & Validation'],"['KPI (key performance indicator) meting rapport', 'Vergelijking met baseline', 'Verbeterpunten en lessons learned document']","Analyseer gemeten KPI's (doorvoer, kwaliteit, downtime) en vergelijk met baseline. Identificeer verbeterpunten en documenteer lessons learned.",Meet en rapporteer KPI's tegenover baseline,Evaluation & Reporting,Performance Evaluation
ROI & Feasibility Analysis,2024-08-29,2024-08-31,"['Antonio', 'Ennis']",2000,['Evaluation & Reporting:Performance Evaluation'],"['ROI berekening en gevoeligheidsanalyse', 'Haalbaarheidsrapport', 'Aanbeveling voor opschaling']","Gedetailleerde financiÃ«le analyse inclusief CAPEX/OPEX-scenario's, terugverdientijd, en gevoeligheidsanalyse voor verschillende opschalingsopties.",FinanciÃ«le analyse en beslissing voor opschaling,Evaluation & Reporting,ROI & Feasibility Analysis
Final Reporting & Closure,2024-08-29,2024-08-31,"['Stuurgroep', 'Ennis', 'Antonio']",1500,"['Evaluation & Reporting:Performance Evaluation', 'Evaluation & Reporting:ROI & Feasibility Analysis']","['Eindrapport', 'Overdrachtsdocumenten', 'Lessons learned en volgende stappen', 'Project afsluitingsrapport', 'Presentatie voor stuurgroep', 'Demonstratie sessie', 'HOTO (handover-takeover) documentatie']","Opstellen van het eindrapport, overdrachtsdocumenten voor operations, and aanbevelingen voor opschaling. Formele afsluiting met demonstratie aan de stuurgroep.","Eindrapport, overdracht en projectafsluiting",Evaluation & Reporting,Final Reporting & Closure
